"","functional_group","Treatment","mean_year_0","median_year_0","se_year_0","max_year_0","mean_year_2","median_year_2","se_year_2","max_year_2","mean_year_3","median_year_3","se_year_3","max_year_3"
"89","Sedges","C",0.003125,0,0.003125,0.1,0,0,0,0,0,0,0,0
"90","Sedges","M",0,0,0,0,0,0,0,0,0,0,0,0
"91","Sedges","S",0,0,0,0,0,0,0,0,0,0,0,0
"92","Sedges","R",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"93","Seedlings","C",0.015625,0,0.00652132822162737,0.1,0.040625,0,0.0313857936709403,1,0.13125,0,0.0929400496157638,3
"94","Seedlings","M",0.059375,0,0.0313857936709403,1,0.01875,0,0.00701021719786843,0.1,0.1625,0,0.0729214668158879,2
"95","Seedlings","S",0.0196428571428571,0,0.00535714285714286,0.1,0.0296875,0,0.0160108605718119,1,0.078125,0,0.0263963935652954,1
"96","Seedlings","R",NA,NA,NA,NA,NA,NA,NA,NA,0.03,0,0.00850962943396763,0.1
"97","Sphagnum","C",0.15,0,0.09713641887041,3,1.05625,0.1,0.35833782661599,10,2.028125,0.1,0.61767048017257,13
"98","Sphagnum","M",0.3375,0,0.169305388325738,5,1.7125,0.1,0.496190121925834,10,4.609375,1,1.35939353899112,30
"99","Sphagnum","S",0.328571428571429,0,0.147593560151332,8,43.296875,45,2.86386557566277,90,65.640625,75,3.4955589162045,98
"100","Sphagnum","R",NA,NA,NA,NA,NA,NA,NA,NA,70.7666666666667,77.5,5.01484768642156,100
"101","Temp_water","C",0,0,0,0,5.78125,0,3.55762877915079,100,5,0,2.93580510472055,80
"102","Temp_water","M",0,0,0,0,5.875,0,3.42392848791013,90,0.15625,0,0.15625,5
"103","Temp_water","S",0,0,0,0,4.21875,0,2.09585152765936,90,1.875,0,1.0175786307904,50
"104","Temp_water","R",NA,NA,NA,NA,NA,NA,NA,NA,0.0666666666666667,0,0.0463205555853101,1
"105","Trees","C",0,0,0,0,0.0125,0,0.00593988704139364,0.1,0,0,0,0
"106","Trees","M",0,0,0,0,0.190625,0,0.0830807243229876,2,0,0,0,0
"107","Trees","S",0.0535714285714286,0,0.0396383231290424,2,0.5421875,0,0.321692608498547,20,0,0,0,0
"108","Trees","R",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"109","Trichophorum","C",0,0,0,0,0,0,0,0,0,0,0,0
"110","Trichophorum","M",0,0,0,0,0,0,0,0,0.0625,0,0.0625,2
"111","Trichophorum","S",0,0,0,0,0,0,0,0,0,0,0,0
"112","Trichophorum","R",NA,NA,NA,NA,NA,NA,NA,NA,9.13333333333333,8,1.17808858763105,25
