Name;Station;Time;Precipitation
Overhalla - Unnset;SN72650;2019-07-16;0.1
Overhalla - Unnset;SN72650;2019-07-17;0
Overhalla - Unnset;SN72650;2019-07-18;0
Overhalla - Unnset;SN72650;2019-07-19;0
Overhalla - Unnset;SN72650;2019-07-20;0.7
Overhalla - Unnset;SN72650;2019-07-21;0
Overhalla - Unnset;SN72650;2019-07-22;8
Overhalla - Unnset;SN72650;2019-07-23;0.1
Overhalla - Unnset;SN72650;2019-07-24;2.2
Overhalla - Unnset;SN72650;2019-07-25;0
Overhalla - Unnset;SN72650;2019-07-26;0
Overhalla - Unnset;SN72650;2019-07-27;0
Overhalla - Unnset;SN72650;2019-07-28;0
Overhalla - Unnset;SN72650;2019-07-29;0
Overhalla - Unnset;SN72650;2019-07-30;0
Overhalla - Unnset;SN72650;2019-07-31;0
Overhalla - Unnset;SN72650;2019-08-01;0
Overhalla - Unnset;SN72650;2019-08-02;0
Overhalla - Unnset;SN72650;2019-08-03;0
Overhalla - Unnset;SN72650;2019-08-04;0.1
Overhalla - Unnset;SN72650;2019-08-05;0
Overhalla - Unnset;SN72650;2019-08-06;0
Overhalla - Unnset;SN72650;2019-08-07;0
Overhalla - Unnset;SN72650;2019-08-08;0
Overhalla - Unnset;SN72650;2019-08-09;11.8
Overhalla - Unnset;SN72650;2019-08-10;0
Overhalla - Unnset;SN72650;2019-08-11;0.1
Overhalla - Unnset;SN72650;2019-08-12;0.5
Overhalla - Unnset;SN72650;2019-08-13;40.5
Overhalla - Unnset;SN72650;2019-08-14;7.7
Overhalla - Unnset;SN72650;2019-08-15;3
Overhalla - Unnset;SN72650;2019-08-16;0
Overhalla - Unnset;SN72650;2019-08-17;4.2
Overhalla - Unnset;SN72650;2019-08-18;2.5
Overhalla - Unnset;SN72650;2019-08-19;0.5
Overhalla - Unnset;SN72650;2019-08-20;0.1
Overhalla - Unnset;SN72650;2019-08-21;0.2
Overhalla - Unnset;SN72650;2019-08-22;0.3
Overhalla - Unnset;SN72650;2019-08-23;1.3
Overhalla - Unnset;SN72650;2019-08-24;0.2
Overhalla - Unnset;SN72650;2019-08-25;3.7
Overhalla - Unnset;SN72650;2019-08-26;22.6
Overhalla - Unnset;SN72650;2019-08-27;0.2
Overhalla - Unnset;SN72650;2019-08-28;0
Overhalla - Unnset;SN72650;2019-08-29;0
Overhalla - Unnset;SN72650;2019-08-30;10.1
Overhalla - Unnset;SN72650;2019-08-31;0.5
