"","Name","Station","Time","Precipitation","Snow_depth","Year","Month","month","year","jday","month_name","Temp_type","Temp"
"101","Hoydalsmoan","SN71780",2019-02-03,0,NA,2019-01-01,2019-02-01,2,2019,34,"February","Max_temp",-5
"102","Hoydalsmoan","SN71780",2019-02-03,0,NA,2019-01-01,2019-02-01,2,2019,34,"February","Mean_temp",-6.3
"103","Hoydalsmoan","SN71780",2019-02-04,1.8,NA,2019-01-01,2019-02-01,2,2019,35,"February","Min_temp",-9.3
"104","Hoydalsmoan","SN71780",2019-02-04,1.8,NA,2019-01-01,2019-02-01,2,2019,35,"February","Max_temp",-4.7
"105","Hoydalsmoan","SN71780",2019-02-04,1.8,NA,2019-01-01,2019-02-01,2,2019,35,"February","Mean_temp",-7.4
"106","Hoydalsmoan","SN71780",2019-02-05,0,NA,2019-01-01,2019-02-01,2,2019,36,"February","Min_temp",-14.2
"107","Hoydalsmoan","SN71780",2019-02-05,0,NA,2019-01-01,2019-02-01,2,2019,36,"February","Max_temp",-6.7
"108","Hoydalsmoan","SN71780",2019-02-05,0,NA,2019-01-01,2019-02-01,2,2019,36,"February","Mean_temp",-10.5
"109","Hoydalsmoan","SN71780",2019-02-06,0,NA,2019-01-01,2019-02-01,2,2019,37,"February","Min_temp",-11.7
"110","Hoydalsmoan","SN71780",2019-02-06,0,NA,2019-01-01,2019-02-01,2,2019,37,"February","Max_temp",-0.6
"111","Hoydalsmoan","SN71780",2019-02-06,0,NA,2019-01-01,2019-02-01,2,2019,37,"February","Mean_temp",-5.8
"112","Hoydalsmoan","SN71780",2019-02-07,10.8,NA,2019-01-01,2019-02-01,2,2019,38,"February","Min_temp",-2.6
"113","Hoydalsmoan","SN71780",2019-02-07,10.8,NA,2019-01-01,2019-02-01,2,2019,38,"February","Max_temp",3.8
"114","Hoydalsmoan","SN71780",2019-02-07,10.8,NA,2019-01-01,2019-02-01,2,2019,38,"February","Mean_temp",1.6
"115","Hoydalsmoan","SN71780",2019-02-08,0,NA,2019-01-01,2019-02-01,2,2019,39,"February","Min_temp",-0.9
"116","Hoydalsmoan","SN71780",2019-02-08,0,NA,2019-01-01,2019-02-01,2,2019,39,"February","Max_temp",2.5
"117","Hoydalsmoan","SN71780",2019-02-08,0,NA,2019-01-01,2019-02-01,2,2019,39,"February","Mean_temp",0.2
"118","Hoydalsmoan","SN71780",2019-02-09,0.2,NA,2019-01-01,2019-02-01,2,2019,40,"February","Min_temp",-2.2
