"","Location","Sublocation","Block","Treatment","Logger_ID","year","DateTime","monthly_mean","monthly_max","monthly_min","month"
"141","BSM","3","3","C","20857950",2022,2022-06-01,12.6762368421053,20.805,3.472,"June"
"142","BSM","3","3","M","20858017",2021,2021-06-01,13.6060421686747,19.853,10.063,"June"
"143","BSM","3","3","M","20858017",2021,2021-07-01,17.2596935483871,23.292,11.334,"July"
"144","BSM","3","3","M","20858017",2021,2021-08-01,14.3419717741935,21.187,8.382,"August"
"145","BSM","3","3","M","20858017",2021,2021-09-01,10.7777875,14.996,6.37,"September"
"146","BSM","3","4","C","20857977",2021,2021-06-01,13.14,19.472,8.779,"June"
"147","BSM","3","4","C","20857977",2021,2021-07-01,16.6872782258065,22.908,10.748,"July"
"148","BSM","3","4","C","20857977",2021,2021-08-01,13.7593669354839,21.091,7.381,"August"
"149","BSM","3","4","C","20857977",2021,2021-09-01,10.4152416666667,15.76,5.552,"September"
"150","BSM","3","4","M","20857988",2021,2021-06-01,13.6309819277108,20.519,9.176,"June"
"151","BSM","3","4","M","20857988",2021,2021-07-01,16.9527137096774,23.196,10.161,"July"
"152","BSM","3","4","M","20857988",2021,2021-08-01,13.6090120967742,19.662,7.481,"August"
"153","BSM","3","4","M","20857988",2021,2021-09-01,10.2782,14.613,4.934,"September"
"154","BSM","3","4","M","20857988",2022,2022-05-01,9.48868951612903,20.234,0.784,"May"
"155","BSM","3","4","M","20857988",2022,2022-06-01,14.7329375,27.468,3.472,"June"
"156","BSM","3","4","M","20857988",2022,2022-07-01,14.7852983870968,26.781,9.077,"July"
"157","BSM","3","4","M","20857988",2022,2022-08-01,14.6672661290323,23.004,7.079,"August"
"158","BSM","3","4","M","20857988",2022,2022-09-01,9.94681666666667,17.95,2.837,"September"
"159","HM","1","1","C","20857954",2020,2020-07-01,14.8076416666667,23.388,9.176,"July"
"160","HM","1","1","C","20857954",2020,2020-08-01,15.2582298387097,23.484,7.481,"August"
"161","HM","1","1","C","20857954",2020,2020-09-01,10.1544875,16.713,4.934,"September"
"162","HM","1","1","C","20857954",2021,2021-05-01,8.75216935483871,20.234,0.232,"May"
"163","HM","1","1","C","20857954",2021,2021-06-01,14.5621458333333,23.292,9.176,"June"
"164","HM","1","1","C","20857954",2021,2021-07-01,17.4034516129032,25.513,11.041,"July"
"165","HM","1","1","C","20857954",2021,2021-08-01,14.2746330645161,22.525,7.179,"August"
"166","HM","1","1","C","20857954",2021,2021-09-01,10.6573333333333,16.332,5.45,"September"
"167","HM","1","1","C","20857954",2022,2022-05-01,9.91359677419355,21.282,1.33,"May"
"168","HM","1","1","C","20857954",2022,2022-06-01,15.389625,27.468,4.311,"June"
"169","HM","1","1","C","20857954",2022,2022-07-01,15.4684435483871,26.977,10.259,"July"
"170","HM","1","1","C","20857954",2022,2022-08-01,15.7739183673469,23.773,7.682,"August"
"171","HM","1","1","M","20857994",2020,2020-07-01,14.4913458333333,22.908,7.983,"July"
"172","HM","1","1","M","20857994",2020,2020-08-01,14.8426330645161,24.062,6.166,"August"
"173","HM","1","1","M","20857994",2020,2020-09-01,9.72527083333333,17.189,3.893,"September"
"174","HM","1","1","M","20857994",2021,2021-05-01,8.68851209677419,20.996,-0.887,"May"
"175","HM","1","1","M","20857994",2021,2021-06-01,14.2279583333333,24.931,6.573,"June"
"176","HM","1","1","M","20857994",2021,2021-07-01,17.011375,23.1,10.944,"July"
"177","HM","1","1","M","20857994",2021,2021-08-01,13.7700120967742,20.71,7.582,"August"
"178","HM","1","1","M","20857994",2021,2021-09-01,10.1782625,14.517,4.934,"September"
"179","HM","1","2","C","20857976",2020,2020-07-01,14.5390375,23.581,8.481,"July"
"180","HM","1","2","C","20857976",2020,2020-08-01,14.8850080645161,23.196,6.37,"August"
"181","HM","1","2","C","20857976",2020,2020-09-01,9.94074166666667,16.903,4.311,"September"
"182","HM","1","2","C","20857976",2021,2021-05-01,9.45827016129032,22.621,-0.774,"May"
"183","HM","1","2","C","20857976",2021,2021-06-01,14.5429416666667,25.319,5.757,"June"
"184","HM","1","2","C","20857976",2021,2021-07-01,17.2399637096774,25.319,10.357,"July"
"185","HM","1","2","C","20857976",2021,2021-08-01,13.9239032258065,21.951,6.573,"August"
"186","HM","1","2","C","20857976",2021,2021-09-01,10.5418125,16.237,4.934,"September"
"187","HM","1","2","M","20857981",2020,2020-07-01,14.3636666666667,20.805,9.571,"July"
"188","HM","1","2","M","20857981",2020,2020-08-01,14.7561129032258,21.378,7.682,"August"
"189","HM","1","2","M","20857981",2020,2020-09-01,9.8087625,14.996,5.141,"September"
"190","HM","1","2","M","20857981",2021,2021-05-01,8.05712096774194,18.045,0.121,"May"
"191","HM","1","2","M","20857981",2021,2021-06-01,14.2248083333333,20.901,8.978,"June"
"192","HM","1","2","M","20857981",2021,2021-07-01,16.9841209677419,23.581,10.944,"July"
"193","HM","1","2","M","20857981",2021,2021-08-01,13.6358427419355,20.996,7.179,"August"
"194","HM","1","2","M","20857981",2021,2021-09-01,10.3051416666667,15.091,5.141,"September"
"195","HM","1","3","C","20857980",2020,2020-07-01,14.5146416666667,21.664,9.472,"July"
"196","HM","1","3","C","20857980",2020,2020-08-01,14.9413951612903,21.855,7.782,"August"
"197","HM","1","3","C","20857980",2020,2020-09-01,10.0110291666667,15.569,5.141,"September"
"198","HM","1","3","C","20857980",2021,2021-05-01,8.69645967741936,20.519,-0.549,"May"
"199","HM","1","3","C","20857980",2021,2021-06-01,14.0678291666667,23.773,7.782,"June"
"200","HM","1","3","C","20857980",2021,2021-07-01,16.8011612903226,23.581,10.553,"July"
